CONTENT,SCORE,THUMBSUPCOUNT,REVIEWCREATEDVERSION,AT
NAO FUNCIONA NO ONEPLUS 9 PRO E ANDROID 12 DON'T WORK ON ONEPLUS 9 PRO - ANDROID 12,1,0,2.2.438005.0,2021-12-30 20:50:41
MUITO LENTO,1,0,2.2.438005.0,2021-12-30 20:10:11
NAO COMSIGO ASESAR,1,0,2.2.438005.0,2021-12-30 18:07:32
"PESSIMO PARA FUNCIONAR NO ANDROID. TALVEZ PORQUE O GOOGLE QUEIRA QUE USE O ASSISTENT GOOGLE HOME. NESSE CASO, E MUITO MELHOR.",1,0,2.2.438005.0,2021-12-30 14:52:47
"FALTA A OPCAO DE AUMENTAR APENAS A VOZ DA ALEXA, TEM UMA DIFERENCA MUITO GRANDE PARA O SOM DA MUSICA QUE ESTA TOCANDO, DEIXO EM UMA ALTURA MUITO BOA PARA MUSICAS SO QUE QUANDO FALO COM ELA NAO CONSIGO OUVIR NADA, E MUITO BAIXA A VOZ SE COMPARADA COM OUTROS SONS. USO ELA PRINCIPALMENTE PELA MUSICA, ME DECEPCIONO NESSE PONTO DA VOZ... ECHO DOT3. E MUITO LIMITADO O SPOTFY AQ, NAO SEI DE QUEM E ESSA LIMITACAO, SO ESTOU PAGANDO O PREMIUM PARA PEDIR MUSICA PASSAR E VOLTAR, CADE O CURTIR??ADC A FILA?",2,9,2.2.436689.0,2021-12-30 10:11:43
NAO ESTA FUNCIONANDO,1,0,2.2.438005.0,2021-12-30 08:49:21
"APP MUITO MUITO LENTO PARA RESPONDER AO TOQUE NA TELA .. CADA BOTAO PRESSIONADO LEVA MAIS DE 15 SEGUNDOS PARA RESPONDER. O MODO DE LEITURA DE LIVRO TRAVES BASTANTE, VOLTANDO PARA TRECHOS ANTERIORES.",1,0,2.2.438005.0,2021-12-30 08:37:48
RUIM,2,0,2.2.438005.0,2021-12-29 21:09:35
APLICATIVO MUITO LENTO ATE PRA FUNCOES MAIS BASICAS. SE MOSTRA COMPATIVEL PRA CONFIGURACAO MAS NO FINAL NAO CONSEGUE ABRIR OS APPS OU EQUIPAMENTOS.,1,0,2.2.438005.0,2021-12-29 17:51:37
NAO GOSTEI E DEVOLVI,1,0,2.2.438005.0,2021-12-29 17:47:25
"DEPOIS QUE ATIVEI MODO RESIDENCIAL NA CAMERA, O DISPOSITIVO FICOU OFF LINE NO APLICATIVO... ALGUEM SABE DIZER PORQUE FOI?",1,0,2.2.438005.0,2021-12-29 17:24:04
ALEXA PORTUGUES PORTUGAL POR FAVOR E NAO PORTUGUES MISTURADO COM INGLES.,1,0,2.2.438005.0,2021-12-29 16:53:03
NAO FUNCIONA A ATIVACAO E TODA MANUAL HORRIVEL NAO GOSTEI,1,0,2.2.438005.0,2021-12-29 15:37:10
ACHEI RIDICULO OBRIGAR A OUTRA PESSOA A TER O APLICATIVO PARA FAZER UMA LIGACAO DE CELULAR PARA CELULAR (ATE O GOOGLE LIGA VIA CELULAR PARA QUALQUER OUTRO CELULAR).APLICATIVO E LENTO E TRAVA EM ALGUNS MOMENTOS!MUITO A MELHORAR!,2,1,2.2.438005.0,2021-12-29 11:34:57
BOM,1,0,2.2.438005.0,2021-12-28 23:11:15
E BOM,1,0,2.2.438005.0,2021-12-28 21:42:56
O APLICATIVO TRAVA MUITO! NAO E MUITO FUNCIONAL.,1,0,2.2.438005.0,2021-12-28 15:16:38
