CONTENT,SCORE,THUMBSUPCOUNT,REVIEWCREATEDVERSION,AT
NAO TEM COMO TIRAR DA PLAYLIST ALGUMAS OPCOES QUE NAO GOSTO. EXEMPLO: SERTANEJO,3,0,2.2.438005.0,2021-12-30 15:35:10
LAMPADA,3,0,2.2.438005.0,2021-12-29 12:18:04
"APP BOM, MAS TEM MUITO PARA MELHORAR. ALGUMAS CONFIGURACOES NAO SAO INTUITIVAS DE ENCONTRAR, NEM DE APLICAR. EXISTEM ITENS DE MENU QUE VOCE ACESSA ACHANDO QUE VAI ENCONTRAR UMA COISA E ENCONTRA OUTRAS SEM MUITO SENTIDO. AS SKILLS DA ALEXA SAO, EM SUA MAIORIA, INUTEIS. AS QUE SAO UTEIS NAO FUNCIONAM MUITO BEM. ACHO QUE A UNICA COISA QUE ACERTARAM BEM E A MANEIRA DE CRIAR ROTINAS, QUE FICOU SIMPLES, MAS TAMBEM DARIA PARA MELHORAR UM TANTO PRECISAM EVOLUIR MUITO EM USABILIDADE E TECNOLOGIA.",3,18,2.2.438005.0,2021-12-29 01:06:28
PODERIA SER MAIS RAPIDO O APP,3,0,2.2.438005.0,2021-12-28 23:05:23
"O APP E BOM, MAS LENTO, COM TEMPO DE RESPOSTA MUITO DEMORADO. DEVERIA TAMBEM HAVER INTEGRACAO COM DISPOSITIVOS DE CASA INTELIGENTE DE FORMA OFFLINE, APENAS COM REDE WI-FI INTERNA",3,0,2.2.438005.0,2021-12-28 16:58:08
"BOAS FUNCOES, POREM E MUITO LENTO!",3,0,2.2.438005.0,2021-12-28 14:49:50
FALTOU UMA BARRA DE PESQUISA,3,0,2.2.438005.0,2021-12-28 12:11:30
APP NAO MUITO INTUITIVO COMO O SMARTHINGS DA SAMSUNG,3,0,2.2.438005.0,2021-12-27 18:36:54
MUITO LENTO E AS VEZES NAO RESPONDE CORRETAMENTE,3,0,2.2.438005.0,2021-12-26 18:00:36
FALTA MELHORAR MUITO O SISTEMA PARA CONECTAR DISPOSITIVOS E PRINCIPALMENTE COM CODIGO DE ATIVACAO.,3,0,2.2.438005.0,2021-12-26 16:10:42
LEGAL,3,0,2.2.400291.0,2021-12-26 13:10:31
PODERIA TER OPCAO DA ALEXA FALAR SEMPRE BAIXO PARA LEMBRETES E ALARMES. AS VEZES A PESSOA TA OUVINDO MUSICA ALTA E DO NADA A ALEXA AVISA PRA VIZINHANCA TODA UM LEMBRETE QUE TINHA PROGRAMADO. ISSO E HORRIVEL E CHEGA A SER DESCONFORTAVEL.,3,3,2.2.438005.0,2021-12-26 11:17:47
MAYBE YOU SHOULD ADD THE OPTION TO CALL ALEXA WITHOUT THE APP OPEN,3,0,2.2.438005.0,2021-12-25 22:15:31
LENTO,3,0,2.2.438005.0,2021-12-25 09:44:03
PERDE MUITO A CONEXAO DO CELULAR COM O DISPOSITIVO,3,0,2.2.438005.0,2021-12-25 02:01:44
TEM QUE ASSINAR AMAZON MUSIC,3,0,2.2.438005.0,2021-12-24 23:43:12
NAO ESTOU ACHANDO AS SKILLS QUE PESQUISEI NA NET,3,0,2.2.438005.0,2021-12-23 18:27:25
