CONTENT,SCORE,THUMBSUPCOUNT,REVIEWCREATEDVERSION,AT
"EXCELENTE, OTIMOS RECURSOS. 5 ESTRELAS..",5,0,2.2.438005.0,2021-12-30 21:20:32
EXELENTE ...,5,0,2.2.438005.0,2021-12-30 21:08:02
OTIMO,5,0,2.2.438005.0,2021-12-30 20:57:15
SISTEMA ALEXA BOM DE MAIS,5,0,2.2.438005.0,2021-12-30 20:55:45
ESTOU GOSTANDO MUITO!,5,0,2.2.438005.0,2021-12-30 20:54:08
INCRIVEL,5,0,2.2.438005.0,2021-12-30 20:50:16
TOP,5,0,2.2.438005.0,2021-12-30 20:44:16
EXCELENTE,5,0,2.2.438005.0,2021-12-30 20:38:18
OTIMO,5,0,2.2.438005.0,2021-12-30 20:38:08
AMOOOO ,5,0,2.2.438005.0,2021-12-30 20:18:08
AMEI VOU COMPRAR UMA ECHO DOT,5,0,2.2.438005.0,2021-12-30 19:56:45
SHOW MUITO INTERATIVA,5,0,2.2.438005.0,2021-12-30 19:56:31
MUITO BOM,5,0,2.2.438005.0,2021-12-30 19:46:38
TOP DEMAIS ESSA ALEXA,5,0,2.2.436689.0,2021-12-30 19:29:56
TE AMO,5,0,2.2.438005.0,2021-12-30 19:22:42
NAO ESTOU CONSEGUINDO LOGAR NO APLICATIVO... FICA EM UMA ETERNA TELA PRETA. VI NOS COMENTARIOS QUE OUTRAS PESSOAS ESTAO COM A MESMA DIFICULDADE.,5,1,2.2.438005.0,2021-12-30 18:33:31
MINHA CASA TA TRES VEZES MAIS INTELIGENTE,5,0,2.2.438005.0,2021-12-30 17:46:51
OK,5,0,2.2.438005.0,2021-12-30 17:31:29
SHOW,5,0,2.2.438005.0,2021-12-30 17:08:57
E MUITA SHOW,5,0,2.2.438005.0,2021-12-30 16:05:53
PERFEITA,5,0,2.2.438005.0,2021-12-30 15:00:10
NAO ESTOU CONSEGUINDO USAR O APP,5,0,2.2.438005.0,2021-12-30 14:44:30
TOPEZEIRA MUITO BOM,5,0,2.2.438005.0,2021-12-30 13:28:57
MUITO BOM,5,0,2.2.438005.0,2021-12-30 11:39:31
MUITO BOM,4,0,2.2.438005.0,2021-12-30 11:07:16
EXCELENTE,5,0,2.2.438005.0,2021-12-30 10:52:41
MUITO BOM,5,0,2.2.438005.0,2021-12-30 08:52:24
OTIMO!!,5,0,2.2.438005.0,2021-12-30 07:27:18
100% DEMAIS,5,0,2.2.438005.0,2021-12-30 03:44:03
